question,answer
My code for EX07 is complete except for the word cloud portion. I am having trouble getting it installed and keep getting this error. Through the regular install or when I try to use a pip command in the terminal. Please let me know if you know how to resolve this issue.,You can also install through pycharm package.
Thank you for your quick response. Trying to install through PyCharm package is the method I am currently using and how I got the error in the image I sent. Do you know of anything else that could be the issue?,"I can not tell what’s the problem from the image you send. 
Did you install the package successfully now?"
"No, I do not have wordcloud installed. All other packages installed without a problem. I have tried shutting down and restarting pycharm, which I guess I will continue to do hoping it works before the due time today. I will also try to see if I can find anything online for this issue.","There’s another way to install: through terminal in pycharm, which requires you clear of your python path of your current project and use ‘-m pip install wordcloud ‘. 
This is a little complex, But if you know your python path in your current project，this is not a problem. "
"That’s, what I found online. I have attempted doing it that way but I most likely did that method wrong. I will continue to try both. Not really sure what the issue is. I assume this is not an issue for other students. Also, I am not sure if this means anything but I think the right side that gives a preview of wordcloud is off on my computer, at least compared to the other libraries:","This is what I would do if I want to install through terminal:
first find the python path in your console, then use the path to install your target package, "
"Can I please have the EM 624 midterm scheduled to a different time as well?
I have work right up until 6:30 and won't have a place to take the exam in time.","Yes, you can do that.
But the make up midterm test date is not set yet, you will get notification once we have the list."
I wanted to know If I can I present my code on jupyter notebook for the presentation?,"Sure you can, but you still need to submit a working py."
"This is regarding the final project I ve just run the code I have sumbitted yesterday I did a very small mistake of not closing a bracket . Which is causing syntax error ‘(‘ was never closed in line 106 
Can please add the bracket and sumbit my code ?",Sure!
"I have submitted my project report along with an ""ipynb file"". I couldn’t submit the "".py file "" as i was not getting the full results on the ""py file"" 
so I submitted the ""ipynb file"" 
but I sending the ""py file"" here for reference. ","student has .py file and we can not run .py and notebook file together on MOSS. Since she has .py file, I think it would be better for her to submit her .py file on canvas. Only .py file through canvas accepted. Please contact IT ASAP!"
"I can submit the py file but as I said I am not able to get a few results on the py file for some reason and that is the reason why I had to submit the ipynb file
If you want I can submit the py file if you want  ",Send the .py file please. Thanks. 
Can i send it on canvas i am not able to send it on the outlook ,"Yes, please submit on canvas as usual and we can not download any .py nor notebook file through this email system."
I am facing issues for logging in my stevens but was able to do it via canvas app on my phone. There might be confusion with the files. Hence submitting the files here as well for your review.I have also attached my IT ticket for the same.,"Please contact the IT ASAP, you may submit it on canvas by Tuesday 6:30PM, no late submission penalty for you."
"I am attaching the files again, plz let me know whether you can access it?","Hi, the email system does not allow us to download the .py file. "
"Thanks I will get back to you by tomorrow. Meanwhile, is it possible for you to check if you have received both of my files on canvas submission (final project & py).","Only PDF is available on canvas. Again, contact IT ASAP. "
I need a little more time to complete my final project. I’m trying to implement a different method and it’s taking me more time. Hope you understand my situation. ,I can give you 1 more day.
I apologize for missing the presentations I have a BSI quality audit going on at work this week that I am heavily involved in. I submitted the PowerPoint I put together on canvas. As for the code I have attached it to this email along with the csv file so you can run it. Let me know if you have any questions.,"Please submit through canvas, we can not download the .py file through emails. "
